feature,mean_importance
feature_325,0.005948439563093322
feature_240,0.006020610535292237
feature_492,0.00676630595513994
feature_354,0.008197580258783454
feature_108,0.012442306605429332
feature_82,0.01372587578625648
feature_198,0.023431801079689542
feature_383,0.02504769441772119
